                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.93165,                  3.306,                 2.2464,                0.31621,                0.38028,                 0.3298,                0.25312,                0.83599,                 2.4164,                 2.0221,              0.0038049,              0.0038049,              0.0038049
                    104,                0.92747,                 3.2828,                 2.2238,                0.31675,                 0.3852,                0.33071,                 0.2544,                0.83572,                 2.4149,                 2.0214,              0.0037442,              0.0037442,              0.0037442
                    105,                0.92644,                 3.2664,                   2.22,                0.32069,                0.38284,                0.33211,                0.25522,                0.83553,                 2.4127,                 2.0212,              0.0036834,              0.0036834,              0.0036834
                    106,                0.92151,                 3.2836,                 2.2234,                0.32292,                0.38283,                0.33253,                0.25573,                0.83555,                 2.4108,                 2.0209,              0.0036227,              0.0036227,              0.0036227
                    107,                0.92561,                 3.2341,                 2.2198,                0.32541,                0.38412,                0.33372,                0.25665,                0.83502,                 2.4087,                 2.0203,               0.003562,               0.003562,               0.003562
                    108,                0.92499,                 3.2031,                 2.2274,                0.32868,                0.38631,                0.33429,                0.25719,                0.83474,                  2.407,                 2.0201,              0.0035012,              0.0035012,              0.0035012
                    109,                0.91927,                 3.2188,                 2.2166,                0.32791,                 0.3851,                0.33425,                0.25788,                0.83438,                 2.4059,                 2.0194,              0.0034405,              0.0034405,              0.0034405
                    110,                0.91449,                 3.1475,                 2.1993,                0.33043,                0.38963,                0.33544,                0.25907,                 0.8341,                 2.4042,                 2.0192,              0.0033798,              0.0033798,              0.0033798
                    111,                0.90501,                 3.1834,                 2.1919,                0.34354,                0.38758,                 0.3367,                0.26011,                0.83365,                  2.403,                 2.0186,               0.003319,               0.003319,               0.003319
                    112,                 0.9062,                  3.146,                 2.2007,                0.35038,                0.38182,                 0.3375,                0.26066,                0.83362,                 2.4026,                 2.0187,              0.0032583,              0.0032583,              0.0032583
                    113,                0.90528,                 3.1191,                 2.1957,                0.35057,                0.38385,                0.33817,                0.26142,                0.83334,                 2.4004,                 2.0185,              0.0031975,              0.0031975,              0.0031975
                    114,                0.90147,                 3.1017,                 2.1921,                0.35165,                0.38234,                0.33951,                0.26296,                0.83324,                 2.3997,                 2.0182,              0.0031368,              0.0031368,              0.0031368
                    115,                0.90261,                 3.0842,                  2.188,                0.35336,                0.38171,                0.34005,                0.26362,                0.83302,                 2.3994,                 2.0179,              0.0030761,              0.0030761,              0.0030761
                    116,                0.90629,                 3.0709,                 2.1808,                0.35394,                0.37946,                0.34056,                0.26408,                0.83261,                  2.399,                  2.017,              0.0030153,              0.0030153,              0.0030153
                    117,                0.89545,                 3.0422,                 2.1762,                 0.3518,                0.38036,                0.34166,                0.26524,                0.83254,                 2.4001,                  2.017,              0.0029546,              0.0029546,              0.0029546
                    118,                0.89901,                 3.0418,                 2.1792,                0.35154,                0.38147,                0.34332,                 0.2664,                0.83267,                 2.4009,                  2.017,              0.0028939,              0.0028939,              0.0028939
                    119,                0.89183,                 3.0396,                  2.173,                0.35296,                0.38094,                0.34395,                0.26728,                0.83214,                 2.4011,                 2.0167,              0.0028331,              0.0028331,              0.0028331
                    120,                0.88995,                 2.9855,                 2.1736,                0.35493,                0.37895,                0.34526,                0.26831,                0.83192,                 2.4029,                 2.0166,              0.0027724,              0.0027724,              0.0027724
                    121,                0.89373,                 3.0065,                 2.1723,                0.35912,                0.37913,                 0.3467,                0.26965,                0.83234,                 2.4048,                 2.0166,              0.0027117,              0.0027117,              0.0027117
                    122,                0.88787,                 2.9531,                 2.1611,                0.36293,                0.37997,                0.34762,                0.27071,                0.83237,                 2.4069,                 2.0169,              0.0026509,              0.0026509,              0.0026509
                    123,                0.88752,                 2.9436,                   2.16,                0.36351,                0.38615,                0.34805,                0.27113,                0.83244,                 2.4093,                 2.0168,              0.0025902,              0.0025902,              0.0025902
                    124,                  0.887,                 2.9544,                 2.1538,                0.36639,                0.38366,                0.34914,                0.27249,                0.83235,                 2.4118,                 2.0171,              0.0025294,              0.0025294,              0.0025294
                    125,                0.87116,                 2.9151,                 2.1379,                 0.3661,                0.38317,                0.34979,                0.27363,                0.83239,                  2.415,                 2.0174,              0.0024687,              0.0024687,              0.0024687
                    126,                0.87274,                 2.8858,                 2.1417,                0.36647,                0.38383,                0.35156,                0.27503,                0.83243,                 2.4181,                 2.0176,               0.002408,               0.002408,               0.002408
                    127,                0.87969,                 2.8736,                 2.1477,                0.37052,                0.38412,                0.35167,                0.27551,                 0.8324,                 2.4225,                  2.018,              0.0023472,              0.0023472,              0.0023472
                    128,                0.87345,                 2.8149,                 2.1283,                0.37038,                 0.3835,                0.35261,                0.27626,                0.83235,                  2.426,                 2.0184,              0.0022865,              0.0022865,              0.0022865
                    129,                0.87353,                 2.7935,                  2.127,                0.37466,                 0.3811,                0.35333,                0.27726,                0.83257,                 2.4303,                  2.019,              0.0022258,              0.0022258,              0.0022258
                    130,                0.86599,                  2.799,                 2.1248,                0.37833,                0.37788,                0.35405,                0.27804,                0.83265,                 2.4349,                 2.0197,               0.002165,               0.002165,               0.002165
                    131,                  0.858,                  2.737,                 2.1105,                0.37786,                0.37627,                0.35424,                0.27866,                 0.8329,                 2.4405,                 2.0202,              0.0021043,              0.0021043,              0.0021043
                    132,                0.86175,                  2.717,                 2.1166,                0.37869,                0.37496,                0.35466,                0.27911,                  0.833,                 2.4476,                  2.021,              0.0020436,              0.0020436,              0.0020436
                    133,                0.86036,                 2.6894,                 2.1082,                0.37941,                0.37351,                0.35526,                 0.2796,                0.83315,                 2.4547,                 2.0215,              0.0019828,              0.0019828,              0.0019828
                    134,                0.84723,                  2.685,                 2.0977,                 0.3869,                0.37151,                0.35532,                0.27996,                0.83361,                 2.4614,                 2.0227,              0.0019221,              0.0019221,              0.0019221
                    135,                0.84604,                 2.6176,                 2.0907,                0.39086,                0.36979,                0.35498,                0.27991,                0.83331,                 2.4702,                 2.0231,              0.0018613,              0.0018613,              0.0018613
                    136,                0.84249,                 2.6284,                 2.0934,                0.39746,                 0.3646,                0.35476,                0.27944,                0.83377,                 2.4804,                 2.0245,              0.0018006,              0.0018006,              0.0018006
                    137,                0.83349,                 2.6219,                 2.0845,                0.39355,                0.36498,                0.35495,                0.27974,                0.83428,                 2.4916,                 2.0262,              0.0017399,              0.0017399,              0.0017399
                    138,                0.83338,                 2.5368,                 2.0724,                0.39153,                0.36576,                 0.3547,                0.27939,                0.83467,                 2.5018,                 2.0276,              0.0016791,              0.0016791,              0.0016791
                    139,                0.82892,                 2.5154,                 2.0768,                0.39437,                0.36455,                 0.3551,                0.27991,                 0.8353,                 2.5141,                 2.0296,              0.0016184,              0.0016184,              0.0016184
                    140,                 0.8237,                 2.5116,                 2.0629,                0.39636,                0.36016,                 0.3551,                0.28016,                0.83618,                 2.5278,                 2.0316,              0.0015577,              0.0015577,              0.0015577
                    141,                0.81384,                 2.4321,                 2.0503,                0.39743,                0.36114,                0.35488,                0.27999,                0.83659,                 2.5419,                 2.0337,              0.0014969,              0.0014969,              0.0014969
                    142,                0.82016,                 2.4269,                 2.0539,                0.40267,                0.35305,                0.35418,                0.27989,                 0.8374,                 2.5581,                 2.0365,              0.0014362,              0.0014362,              0.0014362
                    143,                0.81762,                 2.4164,                 2.0513,                0.40719,                0.34814,                0.35409,                0.27992,                0.83825,                 2.5759,                 2.0393,              0.0013755,              0.0013755,              0.0013755
                    144,                0.80509,                 2.3796,                 2.0371,                0.41088,                0.34292,                0.35388,                0.27972,                0.83931,                 2.5949,                 2.0424,              0.0013147,              0.0013147,              0.0013147
                    145,                  0.802,                 2.3427,                 2.0313,                0.41655,                0.33825,                 0.3535,                0.27968,                 0.8402,                 2.6149,                 2.0457,               0.001254,               0.001254,               0.001254
                    146,                0.80194,                 2.3201,                 2.0236,                0.41939,                0.33631,                 0.3532,                0.27952,                0.84151,                 2.6378,                  2.049,              0.0011933,              0.0011933,              0.0011933
                    147,                0.78812,                 2.2817,                 2.0158,                0.42518,                0.33192,                0.35212,                0.27908,                0.84268,                 2.6615,                 2.0527,              0.0011325,              0.0011325,              0.0011325
                    148,                0.78748,                 2.2452,                 2.0161,                0.42938,                 0.3239,                0.35032,                0.27767,                0.84391,                 2.6878,                 2.0568,              0.0010718,              0.0010718,              0.0010718
                    149,                0.78015,                 2.1921,                 2.0013,                0.43049,                0.31594,                0.34842,                 0.2759,                 0.8453,                  2.716,                 2.0614,               0.001011,               0.001011,               0.001011
                    150,                0.77857,                 2.1512,                  1.998,                0.43195,                 0.3091,                0.34737,                0.27553,                0.84733,                 2.7465,                 2.0668,             0.00095031,             0.00095031,             0.00095031
